Source,Relation,Target,Weight
hindu sabha,ARGUER,point that reet is not contrary to the religion and beliefs of the population,1
hindu mahasabha,ARGUER,point that reet is not contrary to the religion and beliefs of the population,1
khash-kanets,PRACTITIONER,reet,1
rajput status,LINKED_TO,"reform of marriage customs, specially reet and polyandry",1
reet,PRACTICE,against hindu law and morality,1
sexually transmitted diseases,SPREAD_BY,reet,1
"moral degradation of people, specially women",RESULT_OF,reet,1
himalayan women,TRAFFIC_OF,men from the plains,1
himalaya vidiya parbandhani sabha,ACCEPTED,reform,1
himalaya vidiya parbandhani sabha,POINTED OUT,popular demand,1
the himalayas,HAD,hindu population,1
hindu society,SHOWED STIFF OPPOSITION TO,sati abolition,1
hill states' rulers and british officials,ACCEPTED,moral degradation represented by reet marriages,1
"thakur surat singh, general secretary, himalaya vidiya parbandhani sabha",WROTE A LETTER TO,the chief secretary to the government of punjab,1
reet marriages,BECAME ILLEGAL,with the act becoming law,1
other family,TYPES,not covered,1
man-woman alliances,BE ACCEPTED,by local authorities,1
reet marriages,INCLUDE,litigation,1
reet marriages,INVOLVE,custody of male children,1
panchayats or other notified bodies,RULE OVER,legality of existing marriages,1
existing marriages,HAVE TO BE REGISTERED,with local authorities,1
new marriages,CAN BE REGISTERED,if they meet criteria,1
system of bride price,BE CLAMPED DOWN UPON,in traditional marriage,1
proposed reforms,ARGUE THAT,ending first marriage is necessary,1
opponents of the proposed reforms,SHOW THAT,divorce enables ending first marriage,1
reformers,VIEW REET AND DIVORCE AS,core of problem,1
new law,PERMIT DIVORCE UNDER,special circumstances,1
spouses,BECOME SOLELY DEPENDENT ON EACH OTHER FOR PROTECTION AND MAINTENANCE,irrespective of whether a divorce is effected,1
rules,INCLUDED,acceptance of widow marriage,1
social reformers,FEARED,abuse of divorce,1
hill state,CONFISCATED,reet money,1
people,ACCEPTED,changes heralded by the rules,1
certain processes,UNDERMINED,economic and social foundation,1
himalayan group marriage,RESTED,certain processes,1
family's resource base,DIFFICULT TO EXPAND,geographical reasons,1
fraternal group marriage,HARMONISED,inheritance difficulties between brothers,1
cultural isolation,MADE POSSIBLE,radically different family forms,1
region,BASED ON,clans and social structure,1
british towns,MANAGED TO GIVE,different vision to economic activity,1
market,EMERGED,possibilities outside polygynandrous family economy,1
single case,PROVED ITSELF,of much greater historical import,1
partition of farms,INCREASINGLY COMING UP BEFORE OFFICIALS,legal complications,1
money,ENTERED INTO,village and family economies,1
peasants,HAD FOR INTEGRATION WITH THE MARKET,agricultural produce and labour,1
economic opportunities,ROSE,distinct from actual economic power,1
many,ATTENDED,colleges,1
people,GAVE,demands,1
people,ABOLISHED,reet,1
people,ABOLISHED,begar,1
people,RECORDED,rajput,1
families,CASHED,opportunities,1
education,GAVE,confidence,1
ideas,GAVE,confidence,1
people,ORGANISED,bodies,1
people,AGITATED,demands,1
himalaya vidiya parbandhani sabha,HELPED,hindu sabha,1
members,PARTICIPATED,conference,1
pandit madan mohan malaviya,PARTICIPATED,conference,1
swami vishwesharanand,PARTICIPATED,conference,1
sir ganga ram,PARTICIPATED,conference,1
samuel evans stokes,PARTICIPATED,conference,1
family structure,CAME LOOSE,growing possibilities,1
mainstream hindu morality,INCREASINGLY MADE ITS PRESENCE FELT,towns,1
labour,BECAME CRUCIAL,agricultural production,1
people,COULD COME,hill stations,1
begar labour,COMMAND,money,1
praja mandals,UNIFY,economic demands and political objectives,1
emerging stratification,IMPACT,emergence of the new state of himachal pradesh,1
cabinet mission proposals,CONSEQUENCE,revival of political activity in punjab hill states,1
praja mandals,FORM,organisations,1
leadership of praja mandals,DEVELOP,conflicts within the leadership,1
contending groups,HAVE,different political agendas,1
independence,POSSIBILITY OF GAINING,political power,1
struggles within praja mandals,CHARACTERIZE,bitterness and rancour,1
begar,TRANSPORT,europeans,1
simla,VISIT,europeans,1
peasantry,REVOLT,changes,1
dumh,FORMAT,expressions of discontent,1
peasant community,RELATION,hill states,1
resources and labour,DEMAND,peasantry,1
structures of traditional economic and social institutions,OBSTRUCTION,access to emerging markets,1
human geography of the region,CHANGE,control of existing resources,1
traditional family structure,DISSOLUTION,household economy,1
peasantry,SPREAD,"literacy, modern education, communication and cultural values",1
dumhs,EVOLVE,vehicles for expression of demands,1
praja mandals,ADAPT,central elements of dumh,1
peasantry,ALIGN,agenda of the freedom struggle,1
himalayan peasantry,USE,praja mandals for political purposes,1
praja mandals,REPRESENTED,the politically active section of the peasantry,1
indian national congress government in delhi,IMPOSE,power sharing with elected representatives on the rulers of the native states,1
all india states’ peoples’ conference leadership,CORRESPONDENCE,praja mandal activists of the western himalayas,1
"struggles in hill states like dhami, koti, kunihar, bilaspur, mandi, jubbal, sirmaur, etc.",MOBILISE,the peasantry,1
praja mandal organisations,DESTRUCTION,within many hill states,1
activists,ESCAPE,to simla and carry on their activities from there,1
praja mandals,ACTIVITY,carried out in the towns of simla and dehra dun and a bit among the hill states' subjects resident in delhi,1
those praja mandal activists who had led the struggles in the hill states,NOT IN POSITIONS OF LEADERSHIP OR CENTRAL TO THESE ACTIVITIES,the organisation,1
the leadership of the himalayan hill states’ regional council,WAS CONTROLLED BY,those who had come into prominence in public life,1
the first generation of himalayan peasantry to receive higher education and urban employment,HAD FORMED AND MOBILISED OPINION ON ISSUES OF SOCIAL REFORM WITHIN THE PEASANT COMMUNITIES,most notably,1
praja mandal activists,CORRESPONDED WITH,the aispc leadership till about the end of 1946,1
parmar,BECAME THE UNDISPUTED LEADER OF,himachal pradesh,1
parmar,WAS A DOCTORATE IN ANTHROPOLOGY FROM,lucknow university,1
parmar,HAD WORKED UNDER THE SUPERVISION OF,prof. majumdar and padamdev gautam,1
padamdev gautam,WAS A REGISTERED VAID AND AFFILIATED TO,the arya samaj in simla,1
purnanand,WAS A LAWYER AND HAD BEEN EDUCATED IN,lahore,1
individuals from those families which had traditionally been involved in the administration of the hill states,ALSO FORMED PART OF THIS SMALL GROUP OF PIONEER PAHARIS WHO RECEIVED HIGHER EDUCATION AND EMPLOYMENT,"in the professions of law, medicine, education and civil service",1
the praja mandals,REFLECTED THE CONCERNS AND INTERESTS OF,this new class of urban-based intellectuals,1
this emergent class,"RELATED CLOSELY TO INCREASING THEIR ACCESS TO POLITICAL POWER, INTERVENTION IN POLICY DECISIONS AND REMOVING THOSE SOCIAL AND CULTURAL MARKERS WHICH RELEGATED THEM TO A LOWER STATUS IN THE NATIONAL MAINSTREAM",none,1
rich peasant class,LACKED CONFIDENCE,sought allies,1
himalayan hill states' regional council,REFLECTED POSITIONS OF DIFFERENT SOCIAL GROUPS,in working of the regional council,1
leadership of the himalayan hill states' regional council and praja mandals,CLAIMED LEADERSHIP OF PEASANT COMMUNITIES,"primarily based on position, status derived from education and employment",1
cabinet mission,PUBLISHED PROPOSALS,none,1
vibrant leadership within individual hill states,GAINED EXPERIENCE AND CONFIDENCE,during struggles of the peasantry under banner of praja mandals,1
peasantry,FOUND READY ALLY,all india states' peoples' conference,1
khash-kanet peasantry,DEVELOPED INTEREST IN COMMERCIAL AGRICULTURE,none,1
urban markets,"REMAINED MARGINAL, AT BEST",to most vulnerable section within it,1
hill states,FORCEFULLY TOOK OVER RESOURCES OF THE REGION,transformed into commodities in colonial markets,1
"rajas, ranas, and thakurs",PROFITED IMMENSELY,from transforming local resources into commodities,1
peasantry,LABOUR,resources,1
peasantry,REMOVE,obstacles,1
public demand,MEET,hostility,1
hill states,CONTINUE,traditional forms of revenue collection,1
peasantry,FACE,pressure,1
dumh,PROVE,strong resource,1
khash-kanet peasantry,RECORDED AS,owners of the land,1
kafan tax,LEVIED ON,state subjects,1
athwara tax,MEANT TO COVER,birth in the royal family,1
marriage tax,REFER TO,occasion of marriage,1
praja sammelan,RELEASE AFTER,pamphlet,1
independence,FOLLOW,toehold in the growing markets,1
khash-kanet peasantry,OPPOSE,begar conscription,1
dagi-koli labourers,LOATHE TO UPHOLD,traditional institutions,1
rich peasants,LOATHE TO UPHOLD,traditional institutions,1
praja mandals,PROVIDE FRAMEWORK FOR,divisions within the praja mandals,1
middle peasantry,INITIALLY OPPOSE,forced monetisation of the region's economy,1
peasantry,OPPOSE,continuation of institutions,1
peasantry,FORMED,backbone of every single peasant rebellion,1
traditions of community labour,WERE PROVING,hindrance to the labour that successful peasants could invest into their own land,1
more prosperous peasants,REFUSED,labour to maintain the kulhs,1
dagi-kolis,WAS DIFFICULT TO RECORD,reluctance to provide labour,1
himalayas scheduled caste association,SUBMITTED,memoranda to the states ministry and to the aispc,1
dumhs,BECAME INCREASINGLY RARE,ruling class leadership,1
khash-kanet peasantry,EMERGED,"new world of the british towns, education and nationalist ideas",1
hill states,LOOKED TO THE BRITISH FOR REDRESS OF THEIR GRIEVANCES,possible means of influencing policy,1
british officials,TURNED INCREASING HOSTILE,expressions of peasant dissatisfaction,1
peasantry,EMERGED AT THIS TIME,new leadership,1
all india states' peoples' conference,FOUND AN ALLY IN,the freedom struggle,1
peasantry,MANAGED TO SHARE,political power that was imminent,1
bushahr,"WAS ONE OF THE MOST SOCIALLY DIVERSE, TERRITORIALLY LARGE AND POLITICALLY COMPLICATED OF HILL STATES",none specified,1
peasant organisation,EXISTED IN,the state,1
bushahr sewak mandal's work,WAS A COMBINATION OF,social reform propaganda among the peasantry and representations to the authorities,1
rebels,RECEIVE SUPPORT,ruling family,1
mandi,RECEIVE NO SUPPORT,ruling family,1
bilaspur,RECEIVE NO SUPPORT,ruling family,1
dhami,RECEIVE NO SUPPORT,ruling family,1
bushahr sewak mandal,CIRCULATE PAMPHLETS,villages of the state,1
praja sammelan,ORGANISE DURING,lavi trade fair,1
lavi,ATTRACT,villagers and tradesmen from distant regions of the western himalayas,1
bushahr sewak mandal,AIM TO DISCUSS,problems of the state's peasantry,1
bushahr sewak mandal,INTEND TO CHANGE NAME TO,bushahr rajya praja mandal,1
cabinet mission's plan,MAKE CLEAR,britain's intention to give full political independence to india,1
bushahr sewak mandal,ORGANISE THEMSELVES POLITICALLY,so that they too would have a say in their destiny,1
praja mandal,FORMED,bushahr rajya praja mandal,1
padam dev gautam,LEADER,bushahr praja mandal,1
bushahr rajya praja mandal,ORGANISED,conference,1
all india states' peoples' conference,SENT,letters recommending merger of the two rival praja mandals,1
respective office bearers,RECEIVED,letters recommending merger of the two rival praja mandals,1
padam dev gautam,CLAIM,having no credibility,1
bushahr peasantry,CONSIST OF,those who lived in simla and worked in government offices or carried on their own business,1
padam dev gautam,START,parallel' praja mandal of bushahr,1
bushahr rajya praja mandal,FORMED,more than four years ago,1
aispc leadership in delhi,CORRESPONDENCE WITH,two factions of the praja mandal in bushahr,1
bushahr rajya praja mandal,LEAD,minor rebellion in the pargana of sarahan,1
bushahr durbar,CONSPIRE TO FOIST,'illegitimate' praja mandal led by satyadev bushahri on the people of the state,1
all india states’ peoples’ conference,SEND REPRESENTATIVE TO WORK OUT COMPROMISE BETWEEN,two organisations and merge them and appoint a new executive and panel of office bearers,1
masurkar,PRESIDE OVER MEETING,"on the 1st of march, 1947",1
padam dev gautam,APPOINT AS PRESIDENT,the new organisation called the bushahr rajya praja mandal,1
satya dev bushahri,APPOINT AS VICE PRESIDENT,the new organisation called the bushahr rajya praja mandal,1
general secretary of the erstwhile bushahr rajya praja mandal,SEND FORMAL LETTER TO MASURKAR REJECTING MERGER,"as going against the interests of their organisation and by implication, against the people of bushahr",1
all india states' peoples' conference,REFUSED TO ACCEPT THE LEGITIMACY OF,satya dev bushahri led organisation,1
"dwarkanath kachroo, jai narayan vyas and masurkar",COMMUNICATED WITH,activists of the two bushahr praja mandals,1
satya dev bushahri,LED ORGANISATION,bushahr rajya praja mandal,1
peasants of sarahan pargana,REFUSED TO COMPLY WITH,orders for providing begar to state officials,1
bushahr police,ARRESTED AND TORTURED,prominent praja mandal activists,1
praja mandal activists,TORTURE,humiliation,1
entire pargana,GATHERED,over 1000 peasants,1
raja,DISPATCHED,"tehsildar, police thanadar, and other policemen",1
praja mandal activists,DISPERSED,woods surrounding their villages and other secluded areas,1
police force,ATTACHED,properties of the main praja mandal activists,1
peasants,INFURIATED,disposal of their property,1
praja mandal leaders,WANTED,control of the outbreak of violence,1
satya dev bushahri,SENT,feelers for compromise to the raja,1
raja,ANNOUNCED,interim popular government composed of ministers nominated by praja mandal,1
praja mandal leaders,CALLED OFF,satyagraha,1
the political agent at simla,REFUSED TO NOMINATE,praja mandal member,1
interim council of administration,WAS FORMED BY,him (political agent),1
the movement for representative government,WITNESSED STAGNATION DUE TO,bickering between the two praja mandals,1
praja mandals,ACCUSED EACH OTHER OF,being mere showpieces of the bushahr authorities,1
interim council of administration,HELD ELECTIONS UNDER PRESSURE FROM,the states ministry and the bushahr rajya praja mandal,1
satya dev bushahri faction's nominees,WON ALL ELECTIVE SEATS IN,chini and rampur tehsils,1
padam dev gautam faction's candidates,PUT UP OWN CANDIDATES IN,rorhu tehsil,1
interim council of administration,POSTPONED CONVENING THE ELECTED CONSTITUENT ASSEMBLY FOR,more than six months,1
himalayan hill states' regional council,"HELD ELECTIONS ON 10TH JUNE, 1947 FOR",executive and other leading posts,1
girjadhar prasad negi,GENERAL SECRETARY,bushahr rajya praja mandal,1
yashwant singh parmar,LEADER,praja mandals,1
padamdev gautam,LEADER,praja mandal,1
satyadev bushahri,ORGANISATION LEADER,bushahr rajya praja mandal,1
himalayan hill states' regional council,FORMED,after elections,1
padamdev gautam,LOST,post of general secretary to satyadev bushahri,1
satyadev bushahri,REHABILITATED,as chief organiser,1
parmar,RETAINED,live contact and control over the sirmaur praja mandal,1
shivanand ramaul,SERVED,as president of the sirmaur praja mandal,1
satyadev bushahri,ORGANISED,dalit sammelan,1
bushahr rajya praja mandal,FUNCTIONED,rampur town,1
sridev suman,IMPRISONED,tehri authorities,1
sridev suman,CHARGED,fermenting dissatisfaction,1
sridev suman,DIED,hospital,1
praja mandals,COMMEMORATED,25th july,1
tehri garhwal,POLITICALLY UNDER,united provinces,1
himalayan hill states',GROUPED,all india states' peoples' conference,1
tehri garhwal,WERE CRISS-CROSSED BY,"ties of marriage, religion, trade and pastoralism",1
the punjab hill states and tehri garhwal,FACILITATED THE POLITICAL UNITY OF THE AREA AS ENVISIONED BY,the all india states’ peoples’ conference,1
tehri garhwal with the punjab hill states,REMAINED NON-CONTROVERSIAL TILL,the months immediately preceding independence,1
leaders of tehri praja mandal,NOT ATTEND,meetings of himalayan hill states' regional council,1
praja mandal of chamba state,REPRESENTED,himalayan hill states' regional council,1
himalayan hill states' regional council,DISCOURAGE,proposals for mass agitation,1
"general secretary, aispc, delhi",WRITE LETTER TO,k.n.,1
"satyadev bushahri, president, bushahr rajya praja mandal",WRITE LETTER TO,"general secretary, aispc, delhi",1
all india states' peoples' conference,CORRESPONDENCE WITH,leadership of local praja mandal,1
individual praja mandal,CORRESPONDENCE BETWEEN,himalayan hill states' regional council,1
tehri garhwal,EXCLUSION FROM,himachal pradesh,1
"parmar, president, himalayan hill states' regional council",WRITE LETTER TO,"g.n. shastry, tehri praja mandal",1
"tehri praja mandal, delhi branch",WRITE LETTER TO,dr. pattabhi sitaramaiah,1
chamba state subjects,BECOME PART OF,himalayan hill states' regional council,1
tehri praja mandal,FORCE,raja to reduce by half the revenue rates,1
tehri praja mandal,ABOLISH,labour conscription,1
tehri praja mandal,APPOINT,popularly elected ministers in his administration,1
leadership of the tehri praja mandal,JAIL,by the state,1
jailed leaders,DEMAND,their release and their treatment as political prisoners till then,1
tehri durbar,REPRESSION,expressions of public dissatisfaction with the ongoing revenue settlement,1
jailed leaders,HUNGER STRIKE,"in jail, demanding their release and their treatment as political prisoners till then",1
praja mandal activists,BECOME,increasingly restless and impatient,1
communist party,PERSUASION,"by the praja mandal, whose executive had at least two communist party members",1
all india states’ peoples’ conference,PREPARE FOR TRANSFER OF POWER,and negotiating with the princes both at the central level and at the regional councils to introduce power-sharing with them,1
all india states' peoples' conference,GOVERNANCE,himalayan hill states' regional council,1
praja mandal activists,UNION,communist party members,1
jai narayan vyas,CORRESPONDENCE,prime minister of tehri garhwal,1
bushahr,HAD_REBELLION,saran,1
satyadev bushahri,SANCTIONED,rebellion,1
aispc,SANCTIONED,satyagraha,1
aispc leadership,TRIED_TO_DEFUSE,confrontation,1
padamdev gautam,REFUSED_TO_ACKNOWLEDGE,application,1
himalayan hill states' regional council,SENT_TELEGRAPHIC_MESSAGES,praja mandal activists,1
tehri praja mandal,FACED_SIMILAR_SITUATION,none,1
sirmaur,WITNESSED_REBELLION,pajhauta pargana,1
parmar,CONTROLLED,local praja mandal,1
all,HAD BEEN RELEASED,installments,1
vaid surat singh,WAS CONSIDERED,most senior leader,1
praja mandal,SUCCESSFULLY PUT PRESSURE ON,state authorities,1
sirmaur praja mandal,TOOK PART IN BYE-ELECTION,nahan town seat,1
chief minister of sirmaur,HAD A BROTHER,praja mandal candidate,1
state's administrative machinery,USED OPENLY TO CANVASS VOTES FOR,'official' candidate,1
muslims,WERE HELD BACK WITH PROMISE OF SAFE PASSAGE IF THEY VOTED FOR,'official' candidate,1
sirmaur praja mandal,LOST ELECTION,nahan town seat,1
independent candidate,WON ELECTION,nahan town seat,1
sirmaur praja mandal,HELD,village level meetings,1
praja sammelans,ORGANISED,during local fairs and trade gatherings,1
praja mandals,HAD,presence in areas where it did not have a presence,1
popular support,WAS,for the sirmaur praja mandal and its activities,1
parmar,HAD,dominant and domineering personality,1
praja mandals of sirmaur,WERE,politically distant from bushahr and tehri garhwal,1
all india states' peoples' conference,HAD,central leadership,1
simla city congress committee,WAS,part of the central leadership,1
newer leadership,BECAME,radicalised,1
communist party,CAME CLOSER TO,the newer leadership in tehri garhwal,1
dagi-kolis,WERE MOBILISED BY,the newer leadership in bushahr,1
dewan of bushahr,WAS APPOINTED BY,the government of india after independence,1
government of india,APPOINTED,the dewan of bushahr,1
praja mandal,HAD,demands for the dagi-koli bethus,1
dagi-kolis,WERE CLASSIFIED AS,bethus in the revenue records,1
bushahr,EXAMPLE_OF,colonial_history,1
khash-kanet peasantry,RAISING_DEMANDS_FOR,abolition_of_beth_tenures,1
dagi-koli labourers and artisans,BEING_SUBJECT_TO,disabilities_of_the_landless,1
praja mandal agitations,HAVING_AGENDA_OF,beth_reforms,1
bushahr rajya praja mandal leaders,MAKING_DISTINCTIONS_BETWEEN,mobilisations_of_peasants_and_state_subjects,1
state officials,MAKING_DISTINCTIONS_BETWEEN,agitations_by_the_peasantry_in_general_and_by_the_kolis_in_particular,1
all india states’ peoples’ conference,PASSING_RESOLUTION_ON,abolition_of_beth_tenures,1
anulal dhairak,BEING_ARRESTED_BY,dewan of bushahr sardar baldev singh,1
bethus and peasantry,REBELLED_AGAINST,police party,1
district magistrate and state officials,MEETING,delegation_of_peasants_and_bethus,1
police,FIRING_ON,delegation_of_peasants_and_bethus,1
the rebels,LOCKED,all the government offices,1
sardar baldev singh,ADVANCED,rampur with a contingent of armed punjab,1
the rebels,RANSACKED,the town,1
the rebels,BEAT UP,everybody found in the streets,1
anulal,THREW,from the second floor office of the praja mandal,1
the bushahr rajya praja mandal,WAS REPLACED BY,the indian national congress,1
parmar,BOYCOTTING,him,1
padamdev gautam,BOYCOTTING,him,1
venkat rao,CORRESPONDENCE,the parmar group and the central leadership,1
leaders,RETAINED INFLUENCE,with a sizeable section of local political opinion and with a majority of the central leadership,1
tehri garhwal,DOMINANCE,in terms of population and membership,1
himalayan hill states' regional council,CONTROLLING,the himalayan hill states' regional council,1
older leadership,LOST CONTROL,of the himalayan hill states' regional council,1
new leadership,PROVING TO BE POPULAR,with larger masses of the region's peasantry,1
padamdev gautam and yashwant singh parmar,FOLLOWED A THREE-POINT STRATEGY,to reduce the influence of the satyadev bushahri led group,1
padamdev gautam–yashwant singh parmar group,USED THEIR INFLUENCE WITH,states ministry and the administration of the hill states,1
padamdev gautam–yashwant singh parmar group,LAUNCHED A MOVEMENT TO INTRODUCE,popular government and end repression in the hill states of suket,1
other group,DEMANDED AN END TO,revenue system of high taxes and begar along with the introduction of representative government,1
padamdev gautam–yashwant singh parmar group,CRUSH THE MOVEMENTS LAUNCHED BY,the other group,1
satyadev bushahri faction,HAD INFLUENCE ON,politics of the region and their control of the regional council,1
padamdev gautam–yashwant singh parmar group,FLOATED ANOTHER COUNCIL WHICH WAS INITIALLY COMPOSED OF,self nominated members,1
simla hill states sub-regional council,WAS NAMED THE,simla hill states sub-regional council,1
simla hill states,INCLUDED,hill states of punjab,1
hill states,FORM,simla hill states sub-regional council,1
padamdev gautam,NOMINATED MEMBER,simla hill states sub-regional council,1
yashwant singh parmar,NOMINATED MEMBER,simla hill states sub-regional council,1
all india states’ peoples’ conference,RECOGNIZED,simla hill states sub-regional council,1
himalayan hill states’ regional council,DID NOT OBJECT,formation of simla hill states sub-regional council,1
praja mandals workers,GAINING SUPPORT FROM,himalayan hill states’ regional council,1
simla hill states,CALLED FOR,formation of a himalaya prant,1
bushahr rajya praja mandal,HELD PUBLIC MEETING,rohru tehsil,1
simla hill states sub-regional council,CLAIM,affiliation to local praja mandals,1
himalayan hill states’ regional council,DEAL WITH,praja mandals not part of simla hill states sub-regional council,1
simla hill states sub-regional council,OPEN UP ALTERNATIVE ROUTE TO LOCAL PRAJA MANDALS FOR THOSE WHO HAD LOST ELECTIONS,none,1
simla hill states sub-regional council,MAKE EASIER FOR PRAJA MANDALS AGAINST SATYADEV BUSHAHRI FACTION TO UNITE,none,1
all india states’ peoples’ conference,GRANT LEGITIMACY TO,simla hill states sub-regional council,1
himalayan hill states’ regional council,BECOME EXCLUSIVE DOMAIN OF SATYADEV BUSHAHRI GROUP,none,1
padamdev gautam–parmar group,HAVE STRATEGY WITH THREE COMPONENTS,none,1
simla hill states sub-regional council,CHALK OUT OWN AGITATIONAL PROGRAMME,none,1
all india states’ peoples’ conference,APPOINT DEWAN OF BUSHAHR,simla hill states sub-regional council,1
himalayan hill states’ regional council,BECOME LARGELY DISCREDITED BODY,none,1
padamdev gautam–parmar group,ASSUME POWER IN TYPE C STATE OF HIMACHAL,none,1
nationalist leadership of the western himalayas,SPEND,energy,1
praja mandal activists,FIGHT,control over the organisation,1
himalayan hill states' regional council,BE,unprepared to take advantage of the situation,1
satyadev bushahri,INVOLVE,activities of bushahr,1
interim council of administration,DILLY-DALLY,elections,1
satyadev bushahri and padamdev gautam factions,DISPUTE,rohru elections,1
bushahr rajya praja mandal,ISSUE,threat of satyagraha to the bushahr authorities,1
congress leadership,PUT,pressure on them by not wanting to involve itself in agitations at the moment of independence,1
rani sahiba of bushahr,BROKER,deal for installation of a 'popular' praja mandal ministry in bushahr,1
satyadev bushahri,LEAD,mass organisation in the state,1
factions within the royal family,EMERGE,public life and align themselves with one or the other faction of the praja mandal,1
tehri praja mandal,BE IN DISARRAY,its agitation against the proceedings of the land revenue settlement of 1946,1
communists,COULD NOT SHOULDER,entire agitation,1
tehri praja mandal leaders,STRONG OPPOSITION,many,1
all india states' peoples' conference,MANAGED TO SECURE,release of some praja mandal leaders,1
praja mandal leaders,SIGNED 'GOOD CONDUCT' BONDS,some,1
"general secretary, aispc",TO,delhi dated 09.07.1947,1
"dewan, bushahr state",TO,09.02.1948,1
rajmata bushahr,SIGNED BY,order of the board of regency bushahr,1
paripurnanand,HAD ESCAPED FROM,state's prison,1
communists,ACCUSED,central leadership of all india states' peoples' conference,1
all india states' peoples' conference,CAME TO A COMPROMISE WITH,tehri durbar,1
praja mandal,REMAINED IN DISARRAY,pulled in different directions,1
sirmaur praja mandal,FIGHTING FOR THE RELEASE OF,pajhauta prisoners,1
"suket, bilaspur, mandi and nalagarh",WITNESSED SIMILAR AGITATIONS BY,local praja mandals,1
suket praja mandal,PASSED,resolutions,1
y.s.,ISSUED,press release 'suket state',1
satyadev bushahri,WROTE,"letters to general secretary, aispc, delhi",1
parmar,DESCRIBED,the situation in his letters to pattabhi sitaramaiah,1
parmar and his associates,FOUND,their mass base was being eroded,1
the rulers of the different hill states,REALISED,the inevitability of political changes,1
"bushahr, sirmaur, mandi, nalagarh, bilaspur",AIMED,merging their hill states as separate entities within the indian union,1
parmar,WROTE,"to hiralal shastri, general secretary, aispc, delhi",1
verma,PUBLISHED,the emergence of himachal pradesh: a survey of constitutional developments,1
letters from satyadev bushahri,CONTAINED,many references to the hurried elections,1
after independence,DIVIDE,region,1
praja mandals,TRANSCEND,boundaries,1
rulers,MAINTAIN,hold on population,1
parmar and padamdev gautam group,PROPOSE,himalayan prant,1
rulers,PROMISE,special powers,1
sections of the rulers and all india states' peoples' conference,ENCOURAGE,attempt,1
praja mandals,DRIFT,solitary path,1
rulers of the hill states,FORM,constitutional monarchies,1
attempts at arriving at a negotiated settlement,FAIL,none,1
parmar group,POWER_SHARING,new leadership,1
praja mandals,REPRESSION,states' police,1
praja mandal activists,ARRESTED,by states' police,1
raja of suket,MERGER,with newly formed provisional government,1
simla hill states sub-regional council,FORMATION,himalayan prant provisional government,1
sutlej basin,BOUNDARY,dhauladhar range,1
suket,LINKED TO,'balh' and mandi and bilaspur,1
suket,COMPRISED,the flat plain called ‘balh’ which linked it to mandi and bilaspur,1
satyagrahis,MOVE IN FROM,"mandi, simla and suket’s northern tip, tattapani",1
suket,GEOGRAPHICALLY LOCATED AT THE CENTRE OF,the region which comprised the simla hill states sub-regional council,1
leadership of the simla hill states sub-regional council,MONITOR EVENTS ON AN ALMOST HOURLY BASIS,nothing,1
bilaspur and mandi,BORDERS WITH,suket,1
nalagarh,PROXIMITY TO,suket,1
rajas of these hill states,MADE IT A GOOD EXAMPLE FOR,the suket and its proximity to nalagarh,1
first party of satyagrahis,ENTERED SUKET AT,tattapani on 18th february,1
satyagrahis,TOOK CONTROL OF THE TOWN OF,"karsog, the second most important place in suket",1
satyagrahis,"ELECTRIFIED THE PEASANTRY OF THE ENTIRE STATE, RAISED THE MORALE OF THE PRAJA MANDAL WORKERS AND SENT PANIC INTO THE ADMINISTRATIONS OF THE HILL STATES",nothing,1
suket,HAD SWELLED TO FIVE THOUSAND WITHIN FOUR DAYS,nothing,1
another party of satyagrahis,ENTERED SUKET FROM THE SOUTH THROUGH THE SIMLA-KANGRA HIGHWAY,nothing,1
parmar,RECEIVED HOURLY REPORTS OF THE UNFOLDING EVENTS IN SUKET THROUGH TELEPHONE AND RUNNERS,nothing,1
government of india,ACTED SWIFTLY,nothing,1
government of india,EXECUTED,commissioner of kangra,1
commissioner of kangra,HELPED,one contingent of the army and one of the punjab armed police,1
suket satyagraha,SET THE BALL ROLLING,merger,1
hill states,FELL LIKE NINEPINS TO THE DEMAND FOR,merger,1
bilaspur,GOT SEPARATE RECOGNITION AS A TYPE C STATE OF,indian union,1
tehri garhwal,WAS KEPT OUT OF IT SINCE,parmar group did not want to get swamped,1
satyadev bushahri group,BECAME FURTHER WEAKENED,without the support of tehri praja mandal and numerical strength,1
himalayan hill states' regional council,BECAME IRRELEVANT,creation of state of himachal pradesh,1
india,HAVE_COPIED_WITH,colonialism,1
western himalayas,BE_PART_OF,indian civilisational expanse,1
western himalayas,INTEGRATED_WITH,indian nation,1
himalayas,IMBIBED_FEATURES_FROM,indo-gangetic cultures,1
himalayas,IMBIBED_FEATURES_FROM,tibet,1
colonialism,STUDIED_AS_PAN-INDIAN_PHENOMENON,none,1
india,CONSTITUTED_AS_COUNTRY_AND_NATION,during_course_of_colonial_rule,1
agricultural_communities,ACCEPTED_AS_REPRESENTATIVE_FOR_INDIA,none,1
british indian empire,LIE,outside the civilisational centres,1
indian historiography,BE,of contemporary times,1
desai's book,TAKE,stand that the indian nation was in the making during colonialism,1
sarkar's book,TAKE,stand that the indian nation was in the making during colonialism,1
chandra et.al's book,TAKE,stand that the indian nation was in the making during colonialism,1
nehru's book,WORK WITH,concept of an 'ancient' indian nation,1
raychaudhuri and datta's book,WORK WITH,concept of an 'ancient' indian nation,1
